id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
574,512,32,128,1,0.13755424656480522,1024,256,RS,1024,True,True,False,False,1,2,False,6,7,1,35,1,1,0.14199654285714286,0.013408909292690134,True,True,1,8,128,0.1464388391494805,28
575,32,512,32,128,0.3352129547051422,64,1024,RS,1024,True,False,True,False,20,7,False,1,17,8,35,1,8,0.33559605714285723,0.0011563807317379097,True,False,1,32,2048,0.3359791595805723,2
576,512,32,128,32,0.24675413253197612,2048,64,RS,1024,False,False,False,False,4,13,True,1,22,1,35,1,8,0.2480526571428571,0.003919549164620532,True,False,8,8,2048,0.24935118175373808,26
577,32,1,16,512,0.3074293741691376,2048,2048,RS,2048,True,True,True,False,1,21,True,21,30,8,35,1,8,0.30880125714285706,0.004140978706557575,True,False,1,8,512,0.3101731401165765,6
578,256,32,512,32,0.19360134808348362,256,128,RS,1,True,True,False,True,1,13,False,7,10,8,35,1,8,0.19900334285714286,0.016305724146433727,True,True,1,32,512,0.2044053376308021,27
579,1,512,128,32,0.18265756294706761,64,1024,RS,1024,True,False,False,True,9,13,True,1,3,8,35,1,8,0.18617734285714288,0.010624327248463735,True,True,8,8,128,0.18969712276721815,17
580,64,64,32,32,0.3251148280716648,512,512,RS,1024,False,False,False,False,1,8,False,22,15,32,35,1,1,0.3255905142857142,0.001435841482922694,True,False,1,1,64,0.32606620049976365,20
581,16,32,256,128,0.11894402012079787,128,512,RS,512,False,False,True,True,6,8,True,1,2,1,35,1,1,0.12282917142857144,0.011727187482782332,True,True,8,1,1,0.12671432273634503,5
582,1,1,16,1,0.12347991065413572,256,1024,RS,1024,False,False,True,False,19,24,True,1,3,1,35,1,32,0.12638437142857142,0.008767008885868541,True,True,8,8,2048,0.12928883220300713,29
583,512,1,64,32,0.5161864474755132,2048,64,RS,128,False,False,False,True,1,14,False,6,18,8,35,1,1,0.5183955428571428,0.006668073816297464,True,False,32,1,1,0.5206046382387725,20
584,128,128,32,512,1.1640821531665777,1,256,RS,128,True,True,False,True,12,19,False,1,8,8,35,1,1,1.1658474285714286,0.0053284194080191385,True,False,8,8,1024,1.1676127039762796,9
585,1,256,128,512,1.3579731416347431,64,256,RS,1,True,False,True,False,29,5,False,1,24,1,35,1,32,1.3603882857142857,0.007290024293792265,True,False,1,8,1,1.3628034297938283,5
586,64,16,1,256,0.12172320695162225,128,1024,RS,2048,True,True,False,False,1,11,True,4,18,1,35,1,8,0.12472628571428572,0.009064683685510893,True,True,32,1,1,0.1277293644769492,10
587,64,1,16,64,0.19398398918405707,2048,2048,RS,2048,False,True,False,False,1,16,True,20,28,1,35,1,1,0.19812794285714286,0.012508372980739986,True,True,1,8,64,0.20227189653022865,26
588,32,256,256,32,0.17164362712027467,128,1024,RS,1,False,True,False,False,1,19,True,22,17,8,35,1,8,0.17611585714285716,0.013499263165379187,True,True,8,8,1,0.18058808716543964,10
589,128,32,1,64,0.14766733944689855,512,1,RS,512,False,True,True,False,14,13,True,1,23,32,35,1,1,0.15233180000000002,0.014079504008715243,True,True,1,1,2048,0.15699626055310148,21
590,1,64,32,128,0.34966004572883747,1024,2048,RS,128,False,False,True,False,10,13,False,1,22,8,35,1,1,0.35136259999999997,0.005139097954199467,True,False,1,32,512,0.3530651542711625,26
591,16,16,16,16,0.23783351489495638,64,512,RS,2048,True,True,True,True,1,14,True,20,15,1,35,1,8,0.23819837142857148,0.0011013061358668432,True,False,1,8,1,0.23856322796218657,27
592,32,64,512,16,1.0868309631122655,64,256,RS,512,False,True,True,False,17,26,False,1,13,32,35,1,1,1.0879914285714287,0.003502822651892647,True,False,32,1,1,1.089151894030592,25
593,128,256,64,16,1.2439957922466525,2048,1,RS,1,True,False,True,True,1,17,True,1,5,32,35,1,1,1.247502857142857,0.010585947442969198,True,False,8,8,64,1.2510099220390616,24
594,64,128,1,16,1.2792019694910293,1,512,RS,1024,False,False,True,False,26,29,False,1,1,1,35,1,1,1.2818351428571428,0.007948137741069948,True,False,1,1,2048,1.2844683162232564,16
595,128,64,128,32,0.2027705312159187,1,1,RS,1,False,False,True,True,1,18,False,2,1,32,35,1,1,0.20852697142857146,0.01737560477300733,True,True,8,1,1,0.21428341164122422,9
596,128,32,16,64,0.3441120156309461,1,512,RS,512,True,False,True,True,1,1,True,12,30,1,35,1,1,0.3441994857142857,0.0002640252554400868,True,False,8,1,1024,0.3442869557976253,15
597,32,64,1,256,0.329835481378752,64,1024,RS,1024,False,True,False,True,28,19,True,1,7,8,35,1,8,0.3312258857142857,0.004196884761489699,True,False,8,1,1,0.33261629004981935,10
598,64,1,512,1,0.2644867341238272,2048,1024,RS,2048,False,False,False,False,21,12,True,1,4,1,35,1,1,0.2661764,0.005100194804122679,True,False,1,1,64,0.26786606587617273,18
599,256,16,64,32,0.12790380667282725,256,64,RS,1024,True,False,False,False,1,26,True,19,13,1,35,1,8,0.13098217142857144,0.009291931709009596,True,True,32,1,1,0.13406053618431563,2
600,16,1,256,1,0.12804470282692912,1,512,RS,1,False,False,True,True,22,15,True,1,17,1,35,1,8,0.1313192857142857,0.00988420898076878,True,True,1,32,2048,0.13459386860164227,20
601,512,32,1,512,0.12303739373155784,512,2048,RS,128,True,False,True,True,1,12,True,8,27,1,35,1,1,0.12569317142857142,0.008016368089230987,True,True,1,8,1024,0.128348949125585,4
602,16,64,512,256,0.10463537899082491,1024,128,RS,1024,False,True,False,False,1,11,True,5,20,1,35,1,8,0.10835034285714286,0.011213482899598672,True,True,32,1,2048,0.11206530672346081,16
603,16,64,128,256,0.4616356576832571,64,128,RS,512,True,False,False,True,1,11,True,14,2,32,35,1,1,0.4635717714285714,0.005844088706111325,True,False,1,32,1024,0.46550788517388575,28
604,128,32,16,512,0.15620997028687394,128,256,RS,64,False,False,True,False,1,4,False,20,15,1,35,1,8,0.15960059999999998,0.010234492090684605,True,True,8,1,2048,0.16299122971312602,29
605,16,128,256,32,0.13143532021877977,1,1024,RS,512,True,True,True,False,1,10,False,15,13,1,35,1,1,0.13419979999999998,0.00834448136469333,True,True,32,1,128,0.1369642797812202,15
606,512,1,128,64,0.2919827582751039,1024,1,RS,512,False,True,False,False,1,7,True,7,25,1,35,1,8,0.2927266,0.0022452591094507144,True,False,1,1,128,0.2934704417248961,10
607,32,256,256,256,1.0578623747192464,2048,512,RS,2048,False,False,True,False,1,26,False,20,22,8,35,1,1,1.0582777142857143,0.0012536873287895065,True,False,1,8,256,1.0586930538521822,5
608,64,16,64,512,0.1934968729555903,64,512,RS,512,False,True,False,True,1,27,True,28,20,8,35,1,1,0.19691160000000002,0.01030722900603538,True,True,1,32,1024,0.20032632704440975,17
609,32,64,16,1,0.3486545418591078,64,128,RS,128,False,True,False,True,1,24,True,18,7,8,35,1,8,0.34979319999999997,0.003436998057275318,True,False,8,1,1,0.3509318581408921,23
610,1,1,128,256,0.12254163287585168,1024,512,RS,128,False,False,False,False,1,4,True,19,4,8,35,1,8,0.1315236,0.027111740080320502,True,True,8,8,2048,0.1405055671241483,8
611,64,1,16,1,0.31705804528639187,1,128,RS,256,True,True,True,True,17,9,False,1,29,8,35,1,8,0.3178428,0.0023687534732729923,True,False,1,1,128,0.3186275547136081,23
612,1,32,128,256,0.353770989764311,256,1024,RS,512,True,True,True,False,1,20,False,15,28,1,35,1,8,0.3548055714285715,0.0031228470095247926,True,False,8,8,256,0.355840153092832,23
613,64,64,512,1,0.13047864482700686,128,512,RS,1,False,False,True,True,1,1,True,6,16,8,35,1,1,0.13300254285714289,0.007618294126050818,True,True,1,1,1,0.13552644088727892,20
614,16,256,512,64,0.15765452746941866,64,1024,RS,1,True,True,True,False,1,27,True,27,15,8,35,1,8,0.16183088571428572,0.012606184998464451,True,True,8,1,2048,0.16600724395915278,25
615,32,32,32,16,0.12153106152004493,64,256,RS,1,True,True,True,True,28,25,True,1,9,1,35,1,8,0.12480314285714285,0.009876658142575661,True,True,8,8,256,0.12807522419424078,20
616,64,128,256,1,0.14625228987493177,2048,2048,RS,1,True,False,True,True,19,2,True,1,28,1,35,1,8,0.15031434285714285,0.012261158733270234,True,True,1,32,128,0.15437639583935392,28
617,1,64,256,64,0.2534783193892076,1,64,RS,1024,False,False,False,False,1,6,True,6,26,1,35,1,1,0.25441937142857146,0.0028405312489614546,True,False,8,8,128,0.2553604234679353,9
618,128,1,256,64,0.1858794919663059,2048,512,RS,1024,False,True,True,False,1,25,True,23,14,1,35,1,32,0.18917097142857142,0.009935210675703474,True,True,32,1,512,0.19246245089083694,27
619,32,1,128,256,0.2900041074528868,1,128,RS,256,False,False,True,True,17,3,False,1,13,8,35,1,8,0.2900852285714286,0.0002448611368235692,True,False,1,8,1024,0.2901663496899704,20
620,32,16,256,1,1.0743792191525667,1024,1,RS,2048,False,True,True,False,11,23,False,1,28,1,35,1,1,1.0780362857142858,0.011038721997900802,True,False,1,8,2048,1.0816933522760048,22
621,512,32,128,16,0.11748928550532944,1,512,RS,512,False,False,False,False,1,30,True,29,27,1,35,1,1,0.12200657142857142,0.013635262757771462,True,True,32,1,1024,0.1265238573518134,26
622,32,16,64,16,0.3249970087040161,1,1024,RS,64,False,True,False,False,13,28,True,1,6,8,35,1,8,0.3260692,0.0032363703107913095,True,False,1,8,1024,0.3271413912959839,3
623,16,512,256,128,0.1438785177594714,2048,512,RS,512,False,True,False,False,2,14,False,1,29,1,35,1,1,0.14724282857142856,0.010155049447683551,True,True,1,8,1,0.1506071393833857,4
624,64,16,1,64,0.12203741245714295,1024,256,RS,64,False,True,False,True,14,25,False,1,28,8,35,1,8,0.1288494,0.020561735880305163,True,True,32,1,256,0.13566138754285706,5
625,16,16,512,16,0.1519474722988852,512,512,RS,512,False,True,False,False,1,26,False,30,21,1,35,1,8,0.15747948571428574,0.016698180673134812,True,True,8,1,2048,0.1630114991296863,7
626,64,128,64,128,0.15354682369404876,512,2048,RS,256,True,False,True,True,1,11,True,22,17,8,35,1,8,0.15803514285714285,0.013547827649042608,True,True,8,1,1,0.16252346202023693,26
627,1,256,64,256,0.2551371000612289,2048,1024,RS,256,False,False,True,False,12,6,True,1,3,1,35,1,1,0.2556460285714286,0.001536182141092731,True,False,1,1,1,0.2561549570816283,18
628,1,64,16,128,1.1819754091571997,128,512,RS,64,True,False,False,True,8,17,False,1,21,8,35,1,1,1.183058,0.003267760963455818,True,False,8,8,128,1.1841405908428002,27
629,128,64,1,1,0.15594519533426426,128,64,RS,256,False,False,False,True,8,10,False,1,17,1,35,1,1,0.15883117142857142,0.0087112135532664,True,True,1,8,64,0.16171714752287858,17
630,1,16,1,512,0.14885847925542217,2048,128,RS,2048,True,False,True,False,27,12,True,1,3,8,35,1,8,0.15288985714285713,0.012168567078790354,True,True,32,1,2048,0.1569212350302921,6
631,64,256,512,128,0.12738306808653613,1024,1,RS,1024,False,True,False,False,1,21,False,15,12,1,35,1,8,0.13356362857142856,0.018655796341827787,True,True,32,1,128,0.139744189056321,15
632,32,64,1,64,0.18623920836744312,64,1,RS,1,False,True,False,False,30,27,True,1,22,8,35,1,1,0.19088477142857144,0.014022462618620606,True,True,1,8,128,0.19553033448969975,20
633,512,1,64,64,0.1337390010903478,1,2048,RS,1024,False,True,True,True,1,6,False,18,24,8,35,1,1,0.13781537142857142,0.012304375150062247,True,True,1,32,64,0.14189174176679503,6
634,64,64,64,256,0.315460133092341,1,2048,RS,256,True,True,False,False,19,3,True,1,20,8,35,1,8,0.31588120000000003,0.0012709750992278127,True,False,8,1,1024,0.31630226690765906,17
635,16,512,64,1,0.34763973863544084,64,1,RS,256,True,False,True,True,1,2,False,22,7,1,35,1,8,0.34894251428571427,0.003932380771938321,True,False,1,8,2048,0.3502452899359877,22
636,256,128,32,16,0.11246173691117926,1024,512,RS,64,False,True,True,True,1,2,True,14,10,1,35,1,8,0.11693720000000002,0.013509022057869325,True,True,32,1,1024,0.12141266308882077,23
637,64,128,1,1,0.18689596777640205,64,1024,RS,1,True,True,False,False,1,12,False,2,19,1,35,1,1,0.1892343142857143,0.007058213629813257,True,True,1,32,1024,0.19157266079502655,28
638,1,32,256,512,0.37116463931345095,1,256,RS,2048,False,True,False,False,26,6,False,1,27,1,35,1,8,0.3728795142857143,0.005176287540983287,True,False,8,1,1,0.37459438925797767,14
639,512,32,512,1,0.21649109309813086,2048,64,RS,512,True,True,True,False,20,25,True,1,7,1,35,1,1,0.2206880857142857,0.012668469095404717,True,True,8,1,1024,0.22488507833044052,28
640,256,256,1,32,0.31624048460522824,1024,512,RS,1024,True,True,False,False,1,12,False,30,19,8,35,1,8,0.31735608571428575,0.003367401247858897,True,False,1,1,1,0.31847168682334326,17
641,1,64,32,16,0.11534317181771431,128,2048,RS,128,False,False,False,True,1,9,True,30,6,1,35,1,1,0.11806857142857141,0.00822651929619157,True,True,1,8,2048,0.12079397103942852,7
642,16,1,512,1,0.2971046526046259,256,512,RS,1024,True,False,False,True,18,24,True,1,12,1,35,1,1,0.2979096,0.0024297043465056757,True,False,1,1,128,0.2987145473953741,6
643,64,32,1,16,0.1331316384717448,2048,1024,RS,1024,True,False,False,False,1,17,True,18,6,1,35,1,8,0.13705497142857145,0.011842437397489984,True,True,1,1,64,0.1409783043853981,9
644,256,1,32,1,0.2872223733176603,256,512,RS,128,False,True,True,False,1,9,True,18,18,1,35,1,8,0.2877503714285714,0.001593743035134844,True,False,8,1,256,0.2882783695394825,11
645,16,16,64,32,0.14393178502981244,512,128,RS,2048,True,True,False,True,14,20,True,1,13,1,35,1,1,0.14875585714285713,0.014561285679387474,True,True,8,1,2048,0.15357992925590183,15
646,256,1,1,1,0.1822862168922017,256,1024,RS,64,False,True,True,False,6,10,False,1,30,32,35,1,1,0.18684357142857141,0.01375620840469747,True,True,8,1,2048,0.19140092596494113,25
647,32,32,64,64,0.4092260742402769,64,64,RS,128,False,True,False,False,1,2,True,16,3,8,35,1,8,0.4097674857142858,0.0016342307822935938,True,False,1,32,512,0.41030889718829466,16
648,64,32,64,64,0.20107872307207095,256,2048,RS,1024,True,True,False,True,1,23,False,17,12,32,35,1,1,0.20493945714285713,0.01165348494373582,True,True,1,32,256,0.20880019121364332,3
649,1,16,32,512,0.35530408078512143,2048,2048,RS,64,False,False,False,True,1,1,True,13,24,8,35,1,1,0.355379,0.00022614091687643345,True,False,8,1,512,0.35545391921487857,8
650,128,256,16,64,0.33722248660072723,1,1,RS,1024,False,False,False,True,1,13,False,18,9,8,35,1,1,0.3382811142857143,0.003195429045830741,True,False,1,1,512,0.3393397419707013,1
651,1,128,1,32,0.32761831087000204,1024,512,RS,128,True,True,True,True,1,7,True,27,20,8,35,1,1,0.3286026,0.002971040829646843,True,False,8,1,64,0.329586889129998,18
652,32,128,1,64,0.13333881097939965,2048,256,RS,128,False,False,False,True,22,20,True,1,4,1,35,1,8,0.13594885714285715,0.00787832912358908,True,True,1,1,1,0.13855890330631465,23
653,64,256,32,1,0.12752848592311306,64,256,RS,64,False,False,False,True,1,2,False,15,20,32,35,1,1,0.13108291428571428,0.010728912338353859,True,True,1,8,2048,0.1346373426483155,18
654,128,128,64,128,0.23854689604674617,2048,256,RS,128,False,True,True,False,7,12,True,1,11,1,35,1,8,0.2386180571428571,0.0002147971724816743,True,False,1,1,2048,0.23868921823896805,6
655,32,32,256,64,0.2897394901061032,1,256,RS,2048,True,False,True,False,1,7,False,2,30,8,35,1,8,0.29087517142857144,0.003428012639464234,True,False,1,8,256,0.29201085275103966,23
656,64,128,32,16,0.11676077681578768,128,1024,RS,512,True,False,False,True,1,2,False,23,16,1,35,1,1,0.12027048571428571,0.01059392826743273,True,True,32,1,1,0.12378019461278374,26
657,64,64,512,256,0.191269593546583,128,64,RS,1,True,True,True,False,23,18,False,1,28,32,35,1,1,0.1960527428571429,0.014437761693050144,True,True,8,8,2048,0.20083589216770278,1
658,32,16,512,64,0.24484176350744458,1,1024,RS,1,False,True,True,False,12,6,True,1,24,1,35,1,1,0.24498771428571428,0.0004405470995691331,True,False,1,1,128,0.24513366506398399,26
659,256,128,256,64,1.2615221455440946,1024,2048,RS,1,False,True,True,True,4,16,False,1,19,8,35,1,1,1.2629054285714285,0.004175389352491337,True,False,1,8,512,1.2642887115987624,3
660,64,64,16,512,1.3704188384914757,64,256,RS,1,True,False,True,True,30,25,True,1,19,8,35,1,1,1.371727714285714,0.003950793833948738,True,False,1,32,512,1.3730365900799524,14
661,1,1,1,1,0.19386453780617457,512,256,RS,128,True,True,False,True,18,19,False,1,6,1,35,1,32,0.19672211428571432,0.008625490352177679,True,True,1,1,2048,0.19957969076525406,14
662,256,256,512,1,0.2231030130496427,2048,2048,RS,1,False,True,False,False,23,1,False,1,25,8,35,1,1,0.2284402,0.016110104096143246,True,True,1,32,2048,0.23377738695035732,19
663,32,128,256,512,0.15570912652233337,2048,512,RS,2048,True,True,True,True,1,3,True,14,26,1,35,1,8,0.1580928285714286,0.007195117671968222,True,True,1,32,1024,0.1604765306205238,19
664,1,512,16,64,0.13461647051760456,1024,2048,RS,1,False,False,False,False,17,14,True,1,13,8,35,1,1,0.14091088571428573,0.018999462635666344,True,True,1,8,128,0.1472053009109669,21
665,1,64,256,64,0.40022945237920055,1024,64,RS,256,False,True,False,True,12,3,False,1,21,1,35,1,8,0.4006018,0.001123917709239806,True,False,1,32,1,0.40097414762079947,2
666,512,512,16,512,0.28749504330363373,1024,1024,RS,64,False,False,True,True,8,7,False,1,4,32,35,1,1,0.28756408571428566,0.00020840199771849372,True,False,1,32,512,0.2876331281249376,8
667,1,1,64,512,1.2646989409927964,1,64,RS,64,True,False,True,False,1,21,False,15,18,32,35,1,1,1.2668420000000002,0.006468745429259913,True,False,1,1,1,1.268985059007204,28
668,512,1,1,1,0.13982711901354722,2048,1,RS,128,False,False,True,True,1,5,False,26,6,1,35,1,1,0.14443154285714283,0.013898285391356442,True,True,1,1,256,0.14903596670073843,3
669,256,16,256,16,0.18990333180406907,512,256,RS,2048,False,False,True,True,1,12,False,18,14,1,35,1,32,0.1934686,0.010761631979796162,True,True,1,8,64,0.1970338681959309,24
670,64,128,128,128,0.2938618149441632,1024,128,RS,128,False,False,True,False,14,17,True,1,8,8,35,1,1,0.3004134,0.019775720473348125,True,True,1,32,512,0.3069649850558368,10
671,16,32,32,64,0.34976896410426533,2048,64,RS,256,True,True,False,True,1,8,True,14,1,8,35,1,1,0.3508442,0.0032455603240646854,True,False,1,1,64,0.35191943589573466,4
672,64,16,128,128,0.23872807745335303,64,64,RS,512,False,True,True,True,1,22,True,2,26,1,35,1,8,0.23921951428571425,0.0014833841496760692,True,False,8,8,2048,0.23971095111807547,18
673,16,16,64,16,0.4256825752629016,1,256,RS,128,False,False,False,False,30,22,False,1,25,1,35,1,32,0.42662774285714283,0.002852953901213442,True,False,8,1,1,0.42757291045138407,1
674,32,16,16,16,0.19270165077730184,1,256,RS,256,False,True,False,True,1,21,False,15,23,8,35,1,8,0.1949806,0.006878925087125581,True,True,32,1,512,0.19725954922269817,30
675,1,32,16,1,0.3822602755872678,512,1,RS,2048,True,False,True,True,3,11,True,1,2,32,35,1,1,0.38312334285714283,0.0026051370673328945,True,False,32,1,64,0.3839864101270179,9
676,16,1,32,128,0.36281473163685607,128,256,RS,2048,True,False,False,True,20,9,False,1,10,1,35,1,32,0.3638068857142857,0.0029947808865369977,True,False,32,1,1024,0.36479903979171535,16
677,1,512,32,256,0.11497406824983854,128,1024,RS,2048,True,False,False,True,8,13,True,1,16,1,35,1,1,0.11994125714285715,0.014993278458491908,True,True,8,8,512,0.12490844603587577,26
678,1,512,1,128,1.3882940027903858,64,512,RS,64,True,False,True,False,1,14,False,29,9,1,35,1,32,1.3896022857142858,0.003949004276461378,True,False,1,8,256,1.3909105686381857,11
